City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,ribeira grande,PT,73.63,clear sky,38.52,-28.7,Quinta da Meia Eira
1,praia da vitoria,PT,77.0,few clouds,38.73,-27.07,Hotel Branco I
2,atuona,PF,78.46,clear sky,-9.8,-139.03,Villa Enata
3,arteaga,MX,73.96,light rain,18.47,-102.42,
4,japura,BR,72.91,broken clouds,-0.32,102.35,Rumah mbah Jamah
5,isangel,VU,80.6,broken clouds,-19.55,169.27,Volcano Sea View Tree House
10,albany,AU,81.0,thunderstorm,42.6,-73.97,
11,avarua,CK,75.2,clear sky,-21.21,-159.78,Paradise Inn
21,shitanjing,CN,65.41,clear sky,39.23,106.34,
22,rikitea,PF,70.43,broken clouds,-23.12,-134.97,Pension Maro'i
23,vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
25,jamestown,SH,80.01,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
33,hasaki,JP,77.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
35,dirba,IN,80.02,clear sky,30.07,75.98,Ganesh Biknear Sweets and Namkeen Dirba
42,port blair,IN,81.19,overcast clouds,11.67,92.75,Fortune Resort Bay Island
44,porbandar,IN,81.57,light rain,21.64,69.61,Lords Inn Porbandar
47,yendi,GH,73.87,scattered clouds,9.44,-0.01,Eyarro Lodge
50,asfi,MA,72.21,clear sky,32.3,-9.24,Hôtel Abda
52,crotone,IT,80.35,clear sky,39.09,17.12,Helios Hotel
53,mannarakkat,IN,78.8,mist,10.98,76.47,The Park Residency
55,berekum,GH,71.13,clear sky,7.45,-2.58,Nyame Nnae Hotel
60,fortuna,US,71.01,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
64,kavaratti,IN,81.7,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
65,itarema,BR,77.74,scattered clouds,-2.92,-39.92,Windvillage
66,shimoda,JP,72.0,broken clouds,34.67,138.95,Shimoda Tokyu Hotel
69,panipat,IN,78.87,scattered clouds,29.39,76.97,SPOT ON 68644 Shri Shyam Guest House
75,wajima,JP,77.72,clear sky,37.4,136.9,Wajiima Onsen Yashio
79,lata,SB,68.0,clear sky,40.16,-8.33,Casa Maquia
81,libreville,GA,78.8,scattered clouds,0.39,9.45,Hotel Re-Ndama
82,beloha,MG,65.37,clear sky,-25.17,45.05,
83,oum hadjer,TD,79.2,light rain,13.3,19.7,
84,sibolga,ID,75.65,scattered clouds,1.74,98.78,Hotel Syariah CN Darussalam
93,totness,SR,80.11,light rain,5.88,-56.32,STAATS LOGEERGEBOUW TOTNESS
94,shingu,JP,77.61,clear sky,33.73,135.98,Shingu UI Hotel
96,los llanos de aridane,ES,75.0,few clouds,28.66,-17.92,Valle Aridane
97,bengkulu,ID,75.49,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
103,pemba,MZ,74.17,moderate rain,-12.97,40.52,Guesthouse Samotina
105,arraial do cabo,BR,68.0,broken clouds,-22.97,-42.03,Pousada Porto Praia
109,souillac,MU,69.8,shower rain,-20.52,57.52,Bils' Villa
111,vila franca do campo,PT,71.6,few clouds,37.72,-25.43,Pestana Bahia Praia
112,kavieng,PG,77.29,heavy intensity rain,-2.57,150.8,Nusa Island Retreat
113,meulaboh,ID,76.66,overcast clouds,4.14,96.13,Kost Pria
115,tuktoyaktuk,CA,68.0,broken clouds,69.45,-133.04,End of The Road Ltd.
116,masallatah,LY,76.32,scattered clouds,32.62,14.0,Mohamed Ahmed Salem
117,pringsewu,ID,71.44,broken clouds,-5.36,104.97,Urban Style by Front One
118,saint-philippe,RE,69.8,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
119,porto santo,PT,73.4,few clouds,33.07,-16.34,Hotel Porto Santo & Spa
121,constantine,DZ,73.4,clear sky,36.37,6.61,Grand Hotel Cirta
127,inirida,CO,74.37,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
129,faanui,PF,76.84,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
130,namibe,AO,65.19,broken clouds,-15.2,12.15,Hotel Chik Chik Namibe
132,faya,TD,71.6,scattered clouds,18.39,42.45,مقبرة ال مجمل
135,humberto de campos,BR,77.67,clear sky,-2.6,-43.46,Pousada do Cabeça
138,santa maria,CV,66.2,clear sky,-29.68,-53.81,Hotel Morotin
139,vanimo,PG,76.55,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
140,lorengau,PG,79.36,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
141,puerto ayora,EC,77.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
142,georgetown,SH,80.01,few clouds,5.41,100.34,Cititel Penang
147,yaan,CN,72.97,overcast clouds,7.38,8.57,
149,huejuquilla el alto,MX,79.5,broken clouds,22.6,-103.87,Hotel Huexuquillan
151,mbandaka,CD,70.07,overcast clouds,0.05,18.26,Guest House Epervier
152,salinopolis,BR,80.31,overcast clouds,-0.61,-47.36,Hotel Salinópolis
154,begoro,GH,67.5,broken clouds,6.39,-0.38,MR ODAME
157,ikwiriri,TZ,71.51,scattered clouds,-7.96,38.97,Selous Lodge
160,vila velha,BR,72.0,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
162,kapoeta,SD,74.88,light rain,4.77,33.59,Eastgate Hotel
167,sechura,PE,71.53,clear sky,-5.56,-80.82,Hospedaje Costa Bella
170,palestine,US,80.6,clear sky,31.92,35.2,Grand Park Hotel
171,komsomolskiy,RU,73.4,clear sky,40.43,71.72,Ikathouse
174,alofi,NU,78.8,scattered clouds,-19.06,-169.92,Taloa Heights
178,alexandria,EG,78.8,clear sky,31.22,29.96,Royal Crown Hotel
179,phonhong,LA,75.02,moderate rain,18.5,102.42,Napakuang Resort
180,samarai,PG,76.28,overcast clouds,-10.62,150.67,Nuli Sapi
182,lompoc,US,73.4,few clouds,34.64,-120.46,Holiday Inn Express Lompoc
183,aketi,CD,71.17,overcast clouds,2.74,23.78,
184,harsova,RO,75.2,few clouds,44.68,27.93,Club Robert
185,tura,RU,73.74,clear sky,25.52,90.22,Hotel RIKMAN Continental
187,pitimbu,BR,73.4,broken clouds,-7.47,-34.81,Reserva do Abiaí
189,kapit,MY,72.81,broken clouds,2.02,112.93,Hotel Meligai Kapit
190,katsuura,JP,78.01,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
193,ginda,ER,65.64,overcast clouds,30.69,78.49,Bal uma sankar hotel and restaurant
194,martapura,ID,71.6,clear sky,-3.42,114.85,Montana Hotel Syariah
195,chapais,CA,68.0,few clouds,49.78,-74.85,Hôtel Opémiska
198,bambous virieux,MU,71.01,shower rain,-20.34,57.76,Casa Tia Villa
200,tual,ID,79.43,scattered clouds,-5.67,132.75,Grand Vilia Hotel
203,dingle,IE,76.44,broken clouds,11.0,122.67,Camp Pasica
206,omboue,GA,73.87,overcast clouds,-1.57,9.26,Hotel Olako
212,norman wells,CA,69.8,few clouds,65.28,-126.83,Heritage Hotel
213,karratha,AU,71.24,broken clouds,-20.74,116.85,ibis Styles Karratha
217,cabedelo,BR,73.4,broken clouds,-6.98,-34.83,Lua Mansa Pousada
223,esfarayen,IR,66.2,scattered clouds,37.08,57.51,Mellat
224,touros,BR,75.2,few clouds,-5.2,-35.46,INN NEW HORIZON
226,mandera,KE,78.4,overcast clouds,3.94,41.87,Kornesh Hotel and Lodging
229,hambantota,LK,78.8,few clouds,6.12,81.12,Bungalow 63
230,orocue,CO,80.94,clear sky,4.79,-71.34,Hotel Brisas de San Miguel
232,akyab,MM,80.4,moderate rain,20.15,92.9,Hotel Memory
235,carutapera,BR,76.33,broken clouds,-1.2,-46.02,Lidera
