City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,ribeira grande,PT,38.52,-28.7,73.63,88,3,10.78,clear sky
1,praia da vitoria,PT,38.73,-27.07,77.0,83,20,6.71,few clouds
2,atuona,PF,-9.8,-139.03,78.46,77,1,15.35,clear sky
3,arteaga,MX,18.47,-102.42,73.96,93,94,3.38,light rain
4,japura,BR,-0.32,102.35,72.91,96,66,1.61,broken clouds
5,isangel,VU,-19.55,169.27,80.6,88,75,2.24,broken clouds
6,barrow,US,71.29,-156.79,42.8,87,90,6.93,overcast clouds
7,winsum,NL,53.33,6.52,60.01,93,69,4.7,broken clouds
8,marsh harbour,BS,26.54,-77.06,85.24,76,4,23.11,light rain
9,ushuaia,AR,-54.8,-68.3,35.6,74,20,9.17,few clouds
10,albany,AU,42.6,-73.97,81.0,73,75,18.34,thunderstorm
11,avarua,CK,-21.21,-159.78,75.2,69,5,11.41,clear sky
12,lavrentiya,RU,65.58,-171.0,47.3,94,100,5.91,overcast clouds
13,klamath falls,US,42.22,-121.78,90.0,23,90,3.36,smoke
14,new norfolk,AU,-42.78,147.06,39.99,91,10,1.01,clear sky
15,hobart,AU,-42.88,147.33,41.0,75,20,6.93,few clouds
16,gweru,ZW,-19.45,29.82,55.22,65,88,5.5,overcast clouds
17,port hedland,AU,-20.32,118.57,57.2,71,0,5.82,clear sky
18,port augusta,AU,-32.5,137.77,41.0,93,21,4.7,few clouds
19,san cristobal,EC,7.77,-72.22,89.6,46,40,19.46,scattered clouds
20,miranda,BR,3.25,-76.23,84.2,54,40,12.75,scattered clouds
21,shitanjing,CN,39.23,106.34,65.41,48,0,7.72,clear sky
22,rikitea,PF,-23.12,-134.97,70.43,84,75,20.85,broken clouds
23,vaini,TO,-21.2,-175.2,78.8,88,20,10.29,few clouds
24,hofn,IS,64.25,-15.21,50.04,78,100,4.59,overcast clouds
25,jamestown,SH,42.1,-79.24,80.01,57,1,3.36,clear sky
26,borovoy,RU,55.43,86.08,53.6,93,10,4.47,clear sky
27,farmington,US,36.73,-108.22,98.01,12,1,4.7,clear sky
28,port elizabeth,ZA,-33.92,25.57,57.2,87,97,5.82,overcast clouds
29,fort frances,CA,48.6,-93.4,82.99,69,40,1.39,scattered clouds
30,kruisfontein,ZA,-34.0,24.73,55.99,83,100,6.82,overcast clouds
31,lazarev,RU,52.23,141.51,56.41,78,98,3.74,overcast clouds
32,thompson,CA,55.74,-97.86,55.4,93,90,4.7,light rain
33,hasaki,JP,35.73,140.83,77.0,100,75,6.93,broken clouds
34,victoria,SC,22.29,114.16,84.0,79,6,8.01,clear sky
35,dirba,IN,30.07,75.98,80.02,82,0,9.53,clear sky
36,carnarvon,AU,-24.87,113.63,60.8,82,0,10.29,clear sky
37,busselton,AU,-33.65,115.33,42.01,82,0,4.32,clear sky
38,hithadhoo,MV,-0.6,73.08,82.58,78,60,13.18,broken clouds
39,cherskiy,RU,68.75,161.3,38.43,93,100,10.45,light rain
40,tromso,NO,69.65,18.96,51.8,87,75,20.8,moderate rain
41,punta arenas,CL,-53.15,-70.92,35.6,74,75,26.4,broken clouds
42,port blair,IN,11.67,92.75,81.19,83,99,8.32,overcast clouds
43,khatanga,RU,71.97,102.5,54.93,68,97,8.48,overcast clouds
44,porbandar,IN,21.64,69.61,81.57,84,100,20.49,light rain
45,sisimiut,GL,66.94,-53.67,46.13,80,3,4.12,clear sky
46,vardo,NO,70.37,31.11,59.0,93,40,4.7,shower rain
47,yendi,GH,9.44,-0.01,73.87,86,35,3.33,scattered clouds
48,bredasdorp,ZA,-34.53,20.04,57.2,87,100,2.24,overcast clouds
49,mataura,PF,-46.19,168.86,51.01,94,12,1.01,few clouds
50,asfi,MA,32.3,-9.24,72.21,70,0,11.12,clear sky
51,havre-saint-pierre,CA,50.23,-63.6,60.8,67,90,14.99,overcast clouds
